------------------------2025-11-13 10:00:56--------------------------------------
Margherita;Klein:5.5;Knoblauch:0.5
Tonno;Klein:6.8;Zwiebeln:0.7
------------------------2025-11-24 22:22:32--------------------------------------
Margherita;Klein:5.5;Extra Käse:1.0
Margherita;Groß:7.5;Knoblauch:0.5
Tonno;Klein:6.8;Zwiebeln:0.7
Tonno;Mittel:7.8;Thunfisch:1.5
Diavolo;Groß:8.5;Jalapeños:1.0
------------------------2025-11-24 22:23:18--------------------------------------
Margherita;Klein:5.5;Extra Käse:1.0
Tonno;Klein:6.8;Zwiebeln:0.7
Quattro Formaggi;Mittel:8.0;Gorgonzola:1.5
Quattro Formaggi;Mittel:8.0;Parmesan:1.2
